Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Каша из дробленой пшеницы,4582,995,Бакалея,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2001-08-15,2004-05-14,2.36:,Awaiting Payment
2,Сочи-Адлер,2449,211,Напитки,Отличается высокой степенью очистки и отсутствия посторонних примесей.,1999-02-07,2017-01-08,4.4:,Shipping
3,Шейка,4166,805,Мясо,Часто рекомендуется врачами-диетологами как часть здорового питания.,2013-03-05,2022-08-01,3.32:,In Stock
4,Спаржа,2330,855,Овощи,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",1994-03-07,2020-04-08,1.04:,Sold
5,Пакеты для мастер-класса,6502,305,Товары для дома,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2008-02-01,2012-02-03,1.89:,Awaiting Payment
6,Кольраби,926,870,Овощи,Может использоваться в косметических процедурах для увлажнения кожи.,1999-05-01,2016-01-15,4.65:,Sold
7,Пакеты для Дня Земли,4885,95,Товары для дома,Может использоваться в детском питании начиная с раннего возраста.,1999-02-20,2006-05-03,1.33:,Available for Pickup
8,Куркума молотая,2744,31,Бакалея,Отличается удобством использования и экономичностью в расходе.,2005-01-04,2013-01-03,2.7:,Backorder
9,Пакеты для концерта,9001,735,Товары для дома,"Является источником витаминов группы B, необходимых для энергетического обмена.",1996-05-10,2019-03-06,0.99:,Sold
10,Чашки,1924,607,Товары для дома,Помогает поддерживать нормальный уровень эстрогенов у женщин.,1995-01-14,2029-03-01,2.33:,Returned
11,Слива,9000,430,Фрукты,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2015-05-08,2029-05-19,1.73:,In Stock
12,Каша из перловки,7539,206,Бакалея,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2021-04-26,2029-09-20,1.49:,Shipping
13,Абрикос,5469,533,Фрукты,Подходит для использования в качестве основы для смузи и коктейлей.,2011-02-04,2020-03-08,2.52:,New
14,Ананас,6734,483,Фрукты,Помогает поддерживать здоровый цвет лица и упругость кожи.,2006-03-03,2016-06-05,1.21:,Refunded
15,Чеддер,360,829,Молочные продукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1994-02-05,1997-05-02,0.86:,Shipping
16,Петрушка корневая,8475,782,Овощи,Помогает нормализовать артериальное давление и уровень холестерина.,2001-05-18,2005-11-06,3.47:,Backorder
17,Тыква,850,691,Овощи,Придает блюдам особую нежность и насыщенность.,1999-03-05,2020-01-02,2.43:,Available for Pickup
18,Кабанятина,9563,73,Мясо,Прошел проверку на соответствие экологическим нормам и стандартам.,1995-01-07,2016-01-03,4.15:,On Backorder
19,Баклажан,5770,148,Овощи,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1990-04-03,2017-05-02,4.44:,Pending
20,Приморская,2173,651,Напитки,Помогает поддерживать нормальный уровень кислотности желудка.,1998-06-01,2019-04-17,1.49:,Temporarily Unavailable
21,Пакеты для концерта,6516,789,Товары для дома,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2003-03-01,2030-05-01,0.81:,Returned
22,Редис,9693,985,Овощи,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2006-01-05,2019-07-04,2.65:,Delivered
23,Апельсин,2404,250,Фрукты,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",2011-02-05,2018-07-01,0.26:,In Stock
24,Чеддер,8755,935,Молочные продукты,Помогает поддерживать нормальный уровень сахара в крови.,1999-01-08,2001-03-04,1.52:,Shipping
25,Мыло жидкое,1238,442,Товары для дома,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2012-03-14,2016-02-01,1.3:,Sold
26,Владимирская,3566,276,Напитки,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",1999-01-07,2018-10-03,0.31:,Awaiting Review
27,Перец болгарский,4124,655,Овощи,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2018-06-13,2027-04-14,4.38:,Pending
28,Кесадилья с мясом,899,464,Мясо,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2006-01-03,2021-06-10,1.94:,In Stock
29,Клубника,6392,378,Фрукты,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2011-03-03,2023-07-03,3.43:,Refunded
30,Апельсин,4061,464,Фрукты,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2016-10-02,2027-01-05,4.89:,Delivered
31,Крыжовник,845,644,Фрукты,Используется в косметологии для ухода за кожей и волосами.,2019-11-04,2028-02-04,0.13:,New
32,Лардон,1648,11,Мясо,Помогает поддерживать нормальный уровень pH в организме.,1997-03-02,2010-02-02,1.5:,New
33,Папайя,1403,255,Фрукты,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,1991-03-05,2020-03-02,2.31:,Out of Stock
34,Авокадо,7236,573,Фрукты,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,1993-01-08,2007-07-07,3.61:,Out of Stock
35,Пакеты для охоты,3548,879,Товары для дома,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2006-07-16,2022-03-02,0.58:,Awaiting Payment
36,Щавель,7323,669,Овощи,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2002-05-11,2020-07-09,4.42:,Awaiting Review
37,Российский сыр,498,886,Молочные продукты,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2003-02-02,2025-01-17,0.28:,Delivered
38,Айран,1023,153,Молочные продукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2015-01-14,2030-12-13,3.73:,Shipping
39,Каша из дробленной манной крупы,5756,711,Бакалея,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2012-02-16,2026-10-01,3.86:,Out of Stock
40,Мандарин,1443,330,Фрукты,Отличается высокими показателями усвояемости организмом.,2011-03-18,2024-02-24,2.5:,Awaiting Review
41,Колбаса вареная,524,796,Мясо,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2003-06-03,2020-02-12,2.74:,On Backorder
42,Сельдерей,2903,408,Овощи,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2013-01-01,2020-03-04,4.75:,Pending
43,Пакеты пластиковые,6451,690,Товары для дома,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2021-06-09,2022-03-03,1.74:,Cancelled
44,Полотенца кухонные,5711,822,Товары для дома,"Обеспечивает организм необходимыми жирами, белками и углеводами.",1991-02-05,1998-04-07,4.82:,Sold
45,Капучино,3725,920,Напитки,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,2001-01-05,2007-01-06,0.38:,Backorder
46,Каша из дробленной манной крупы,6210,229,Бакалея,Помогает предотвратить дефицит витаминов и минералов в организме.,1992-01-19,1998-01-21,0.59:,Delivered
47,Сырокопченая колбаса,6375,794,Мясо,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",2020-02-02,2020-02-14,4.62:,Awaiting Payment
48,Фейхоа,566,822,Фрукты,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2019-06-15,2021-02-24,1.97:,In Stock
49,"Специи (перец, куркума, зира)",2888,894,Бакалея,Подходит для использования в специализированных диетах и лечебных программах.,2012-10-08,2022-01-02,0.01:,On Backorder
50,Кастрюли,8772,454,Товары для дома,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2020-08-01,2021-09-10,0.74:,Awaiting Review
51,Куркума молотая,5028,220,Бакалея,Подходит для использования в специализированных диетах и лечебных программах.,2010-02-03,2019-03-08,4.95:,Awaiting Payment
52,Масло сливочное,4942,997,Молочные продукты,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2000-04-10,2011-04-02,2.08:,Backorder
53,Ессентуки,9434,640,Напитки,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",1992-07-01,2024-01-07,0.98:,Refunded
54,Кардамон молотый,2459,951,Бакалея,Помогает поддерживать нормальный уровень гомоцистеина в крови.,1992-07-04,2027-03-10,1.11:,Refunded
55,Кухонные ножи,3601,330,Товары для дома,Отличается натуральным составом и отсутствием искусственных добавок.,2002-04-23,2029-01-24,3.48:,On Backorder
56,Полба,2953,233,Бакалея,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2005-06-26,2014-02-01,3.9:,Pending
57,Горох,4289,660,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2010-01-05,2010-01-05,4.62:,Backorder
58,Смузи мангово-ананасовый,6966,961,Напитки,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2022-01-14,2025-02-24,0.05:,Sold
59,Чиа семена,3829,711,Бакалея,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2013-04-06,2024-07-01,0.4:,Shipping
60,Репа,1885,824,Овощи,Является важным компонентом сбалансированного рациона питания.,1999-01-07,2015-06-11,4.64:,New
61,Полотенца кухонные,4644,580,Товары для дома,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2021-03-01,2027-03-08,0.48:,Shipping
62,Огурец,2249,602,Овощи,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2003-01-12,2028-01-06,0.26:,On Backorder
63,Шелковица,6897,291,Фрукты,Рекомендуется для ежедневного потребления в умеренных количествах.,2006-07-18,2012-05-04,3.98:,New
64,Укроп сушеный,9521,401,Бакалея,Отличается простотой в использовании и хранении.,1999-01-09,2009-12-03,4.47:,Cancelled
65,Coca-Cola Zero,3155,50,Напитки,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2010-01-09,2013-03-17,3.05:,Returned
66,Черный перец горошком,2040,478,Бакалея,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2004-04-06,2013-01-16,3.73:,Cancelled
67,Каша из гречки зеленой,7706,601,Бакалея,Подходит для использования в диетических программах для похудения.,1993-01-02,2001-10-09,0.35:,Out of Stock
68,Ромштекс,8839,476,Мясо,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2005-03-16,2027-01-01,2.05:,In Stock
69,Укроп,5325,794,Овощи,Способствует нормализации обмена веществ в организме.,2019-02-06,2028-07-01,3.12:,Backorder
70,Каркаде,1276,985,Напитки,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2000-06-03,2015-06-09,2.83:,Delivered
71,Молоко,6799,5,Молочные продукты,Может использоваться в вегетарианской диете как источник белка.,2018-03-01,2027-06-05,4.07:,Awaiting Payment
72,Ливерная колбаса,1050,101,Мясо,Используется в косметологии для ухода за кожей и волосами.,1991-04-02,1993-02-02,2.66:,Refunded
73,Владимирская,3117,670,Напитки,Является неотъемлемой частью рациона многих народов мира.,1990-01-02,2027-03-01,4.29:,Refunded
74,Тмин молотый,5636,915,Бакалея,"Помогает улучшить состояние волос, ногтей и кожи.",2013-01-01,2028-02-14,4.87:,Cancelled
75,Крыжовник,4498,639,Фрукты,Подходит для использования в диетических программах для похудения.,1992-03-05,1998-10-15,1.27:,Temporarily Unavailable
76,Огурец,8560,516,Овощи,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2014-03-03,2026-08-05,3.05:,Sold
77,Кокос,8048,508,Фрукты,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2015-01-09,2016-04-18,4.68:,On Backorder
78,Виноград,2574,413,Фрукты,"Является источником важных нутриентов, необходимых для роста и развития детей.",2017-08-01,2025-01-24,3.44:,Available for Pickup
79,Салями,6711,546,Мясо,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2011-07-02,2019-08-18,2.94:,Cancelled
80,Смородина,5373,157,Фрукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1998-08-05,2025-01-14,1.5:,Returned
81,Голова,3302,364,Мясо,Помогает поддерживать нормальный обмен веществ и метаболизм.,2018-02-08,2019-04-02,2.64:,Delivered
82,Мелисса сушеная,8677,884,Бакалея,Помогает поддерживать нормальный уровень триглицеридов в крови.,1992-01-02,2025-10-06,3.42:,Temporarily Unavailable
83,Творог,7209,610,Бакалея,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2021-04-12,2029-05-02,3.91:,Refunded
84,Верблюжье молоко,2206,711,Молочные продукты,Отличается высокими показателями усвояемости организмом.,2003-05-19,2011-04-01,0.54:,Awaiting Review
85,Морковь,5705,212,Овощи,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2018-01-08,2025-01-26,2.92:,Sold
86,Черника,3868,955,Фрукты,Часто рекомендуется врачами-диетологами как часть здорового питания.,1991-06-15,1995-05-21,1.18:,In Stock
87,Чеснок,6634,576,Овощи,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",1992-09-01,1998-01-05,2.14:,Sold
88,Верблюжье молоко,3955,613,Молочные продукты,Отличается высокой питательностью и способен быстро утолить голод.,2003-08-09,2004-01-06,3.82:,Delivered
89,Пакеты для дня рождения,999,63,Товары для дома,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2014-08-23,2021-04-03,3.75:,Delivered
90,Верблюжье молоко,7005,312,Молочные продукты,Помогает сохранять бодрость и активность в течение дня.,2010-04-04,2026-01-05,3.31:,Returned
91,Энергетический напиток,7189,909,Напитки,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2016-04-01,2030-03-03,3.08:,Backorder
92,Персик,9000,56,Фрукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1993-10-18,2018-05-07,1.05:,Pending
93,Хлебопечка,1914,702,Товары для дома,Помогает поддерживать нормальный обмен веществ и метаболизм.,1994-04-01,2011-04-13,0.94:,Returned
94,Черешня,7128,152,Фрукты,Представляет собой ценный источник питательных веществ для растущего организма.,2018-01-08,2019-01-04,2.91:,Refunded
95,Какао,728,361,Напитки,Может использоваться в косметических процедурах для увлажнения кожи.,1998-05-11,2021-09-08,1.6:,Awaiting Payment
96,Пакеты для инструментов,8838,303,Товары для дома,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2019-01-05,2029-03-03,2.19:,Awaiting Payment
97,Засоленное мясо,2999,983,Мясо,Помогает улучшать качество сна и снижать уровень тревожности.,1997-03-04,1998-09-08,0.13:,Refunded
98,Шпик,9996,637,Мясо,Широко используется в традиционной и современной кухне.,1991-05-04,2027-01-23,1.54:,Available for Pickup
99,Варенье,7012,512,Бакалея,Способствует снижению уровня стресса и улучшению настроения.,2019-04-05,2027-02-01,4.14:,Shipping
100,Домашние колбасы,3163,217,Мясо,Помогает поддерживать нормальный обмен веществ и метаболизм.,2022-02-01,2026-01-01,4.6:,New
101,Каша из дробленой кукурузы,8988,188,Бакалея,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1999-09-23,2021-03-02,4.57:,Temporarily Unavailable
102,Лен семена,4296,71,Бакалея,Представляет собой ценный источник питательных веществ для растущего организма.,2004-06-05,2016-03-01,4.74:,Out of Stock
103,San Pellegrino,405,352,Напитки,"Является источником антиоксидантов, замедляющих процессы старения.",2020-03-01,2027-01-05,3.11:,New
104,Брынза,2991,54,Молочные продукты,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2017-01-02,2028-10-04,2.81:,On Backorder
105,Крымская,1112,541,Напитки,Может использоваться в косметических процедурах для увлажнения кожи.,2013-06-08,2026-01-12,4.99:,Awaiting Payment
106,Верблюжье молоко,3617,924,Молочные продукты,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",1998-03-05,2027-02-01,3.48:,Sold
107,Пакеты для запекания,9607,887,Товары для дома,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2002-04-02,2003-02-01,1.81:,Backorder
108,Повидло,2450,943,Бакалея,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2004-04-16,2025-04-08,0.97:,Delivered
109,Кокос,4600,712,Фрукты,"Отличается приятным ароматом, который усиливает аппетит.",1997-06-05,2020-01-03,4.21:,In Stock
110,Адыгейский сыр,4662,43,Молочные продукты,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2010-01-13,2014-02-01,3.98:,Refunded
111,Рагу,3332,124,Мясо,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2022-01-21,2030-01-28,3.88:,Out of Stock
112,Свекла,4044,976,Овощи,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2012-05-07,2017-04-26,0.8:,Pending
113,Шампунь,630,927,Товары для дома,Может использоваться в вегетарианской диете как источник белка.,2014-01-09,2022-07-20,4.54:,Temporarily Unavailable
114,Нектарин,2767,398,Фрукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2006-01-01,2019-10-04,0.32:,Refunded
115,Молоко,5615,158,Молочные продукты,Помогает поддерживать нормальный уровень триглицеридов в крови.,1996-08-04,2026-04-12,1.37:,Refunded
116,Тако с мясом,4656,284,Мясо,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2010-01-09,2019-03-06,2.88:,Out of Stock
117,Чеснок,9942,736,Овощи,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",1997-06-11,2022-11-10,5.0:,On Backorder
118,Пакеты для животных,1160,703,Товары для дома,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2021-01-09,2028-09-04,3.96:,Out of Stock
119,Нектарин,7020,667,Фрукты,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",1997-04-08,2015-02-03,0.23:,Shipping
120,Каша из манной крупы,9941,137,Бакалея,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",1995-08-04,1996-07-19,2.73:,Sold
121,Отбивная,4024,459,Мясо,Используется в косметологии для ухода за кожей и волосами.,1995-03-06,2021-02-01,1.08:,Sold
122,Эмменталь,7789,260,Молочные продукты,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",1997-05-01,1999-02-16,2.15:,Sold
123,Мармелад,5155,269,Бакалея,Помогает снизить риск развития сердечно-сосудистых заболеваний.,1994-02-02,2009-04-23,1.11:,New
124,Ямайский перец горошком,5507,756,Бакалея,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,1997-03-05,2003-06-22,3.74:,Temporarily Unavailable
125,Пироги с мясом,3087,354,Мясо,Подходит для людей с чувствительным пищеварением.,1993-08-02,1995-02-01,2.29:,Temporarily Unavailable
126,Какао-порошок,7220,644,Бакалея,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,1992-02-20,2020-01-11,2.92:,Sold
127,Пакеты для Дня независимости,3423,951,Товары для дома,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2006-09-07,2012-02-10,5.01:,Shipping
128,Пакеты для запекания,217,833,Товары для дома,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2002-08-26,2020-03-05,0.89:,Delivered
129,Тартар,8404,840,Мясо,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",1995-02-15,2015-01-03,4.43:,New
130,Пакеты для Дня влюбленных,3534,370,Товары для дома,Помогает поддерживать нормальный уровень кислотности желудка.,2003-04-04,2004-01-15,2.96:,Sold
131,Разрыхлитель теста,8970,1000,Бакалея,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",1992-06-06,1994-03-07,1.04:,Awaiting Review
132,Морковь,3247,147,Овощи,"Является источником витаминов группы B, необходимых для энергетического обмена.",2010-04-03,2014-06-06,3.21:,In Stock
133,Баклажан,6437,506,Овощи,Подходит для людей с чувствительным пищеварением.,1998-03-23,2005-01-08,1.9:,Refunded
134,Наволочки,3205,251,Товары для дома,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2011-01-10,2017-03-01,0.73:,Awaiting Payment
135,Пакеты для тренинга,9738,273,Товары для дома,Помогает поддерживать нормальный уровень pH в организме.,1992-07-25,2000-02-03,2.2:,Pending
136,Скалки,2746,207,Товары для дома,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",1999-03-19,2002-04-03,4.77:,Temporarily Unavailable
137,Каша из дробленной пшеничной крупы,6402,105,Бакалея,Часто рекомендуется врачами-диетологами как часть здорового питания.,2003-01-04,2024-02-01,4.19:,Delivered
138,Кострец,8443,660,Мясо,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2000-01-04,2005-02-05,2.02:,Awaiting Review
139,Карамбола,5620,10,Фрукты,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",1995-08-06,2008-04-15,0.69:,Sold
140,Красногорская,8977,667,Напитки,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2018-02-04,2026-01-06,3.83:,Shipping
141,Буженина,5150,329,Мясо,"Отличается длительным сроком годности, что позволяет делать запасы.",2017-06-01,2025-09-08,2.29:,Pending
142,Пакеты для животных,7844,775,Товары для дома,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2009-01-10,2022-05-01,4.09:,Delivered
143,Мытищинская,8072,526,Напитки,Является важным компонентом сбалансированного рациона питания.,2003-04-01,2016-02-04,3.58:,New
144,Каша из дробленной манной крупы,5390,558,Бакалея,Является важным компонентом рациона для поддержания гормонального баланса.,2020-05-14,2020-09-27,0.2:,New
145,Пледы,6527,818,Товары для дома,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2017-02-24,2020-08-07,2.6:,Backorder
146,Рулька,8746,198,Мясо,"Богат кальцием, необходимым для укрепления костей и зубов.",2018-02-13,2026-03-17,0.19:,Awaiting Review
147,Пакеты для рыбалки,3914,190,Товары для дома,Помогает укрепить иммунную систему и защитить организм от инфекций.,2009-07-02,2020-03-01,1.51:,Available for Pickup
148,Буузы,8147,810,Мясо,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2004-03-20,2014-02-08,4.67:,Delivered
149,Лопатка,286,699,Мясо,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2016-05-13,2016-07-13,4.28:,Out of Stock
150,Липецкий бювет,5912,978,Напитки,Помогает улучшать качество сна и снижать уровень тревожности.,1999-08-01,2027-10-13,4.75:,Returned
151,Солонина,2957,529,Мясо,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1993-02-02,2014-03-06,0.33:,New
152,Темрюкская,9460,693,Напитки,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2012-01-03,2022-05-02,3.86:,Temporarily Unavailable
153,Авокадо,6651,639,Фрукты,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2019-03-15,2019-04-22,4.37:,Sold
154,Пылесос,3073,560,Товары для дома,Часто рекомендуется врачами-диетологами как часть здорового питания.,2016-03-02,2017-01-19,4.23:,Awaiting Payment
155,Кабан,6637,847,Мясо,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2009-02-26,2019-05-02,1.97:,Sold
